date,periodic portfolio,periodic benchmark,periodic +/-,cumulative portfolio,cumulative benchmark,cumulative +/-
2023-06-30,1.27,1.23,0.04,32.93,17.35,15.58
2023-07-03,1.21,0.12,1.09,34.53,17.49,17.04
2023-07-04,0.0,0.0,0.0,34.53,17.49,17.04
2023-07-05,0.04,-0.18,0.23,34.59,17.27,17.31
2023-07-06,-1.61,-0.78,-0.83,32.42,16.35,16.07
2023-07-07,0.12,-0.27,0.39,32.58,16.04,16.55
2023-07-10,0.31,0.24,0.07,32.99,16.32,16.67
2023-07-11,0.84,0.68,0.16,34.1,17.1,17.0
2023-07-12,0.9,0.74,0.16,35.31,17.97,17.33
2023-07-13,0.94,0.86,0.08,36.58,18.99,17.59
2023-07-14,0.26,-0.1,0.36,36.93,18.87,18.06
2023-07-17,0.41,0.39,0.02,37.48,19.33,18.16
2023-07-18,0.41,0.71,-0.3,38.05,20.18,17.87
2023-07-19,0.35,0.24,0.11,38.53,20.46,18.07
2023-07-20,-3.41,-0.67,-2.74,33.81,19.66,14.15
2023-07-21,0.02,0.03,-0.01,33.84,19.7,14.15
2023-07-24,0.66,0.4,0.25,34.72,20.18,14.54
2023-07-25,-0.23,0.28,-0.52,34.41,20.52,13.88
2023-07-26,-0.02,-0.01,-0.01,34.38,20.51,13.87
2023-07-27,-1.04,-0.64,-0.4,32.98,19.74,13.24
2023-07-28,1.7,1.0,0.7,35.24,20.93,14.3
2023-07-31,0.57,0.15,0.42,36.0,21.12,14.89
2023-08-01,-1.13,-0.26,-0.87,34.46,20.8,13.67
2023-08-02,-1.79,-1.38,-0.41,32.05,19.13,12.93
2023-08-03,0.24,-0.25,0.49,32.36,18.83,13.54
2023-08-04,1.45,-0.52,1.98,34.29,18.21,16.08
2023-08-07,1.03,0.9,0.12,35.67,19.28,16.39
2023-08-08,-0.8,-0.42,-0.38,34.59,18.77,15.81
2023-08-09,-1.19,-0.7,-0.49,32.99,17.95,15.04
2023-08-10,0.24,0.04,0.2,33.31,17.99,15.32
2023-08-11,-0.34,-0.09,-0.25,32.86,17.88,14.97
2023-08-14,0.31,0.58,-0.27,33.26,18.57,14.7
2023-08-15,-1.36,-1.14,-0.22,31.45,17.22,14.23
2023-08-16,-1.24,-0.74,-0.5,29.82,16.35,13.47
2023-08-17,-1.69,-0.75,-0.94,27.62,15.48,12.15
2023-08-18,-0.23,-0.01,-0.22,27.33,15.47,11.87
2023-08-21,1.15,0.69,0.46,28.8,16.26,12.53
2023-08-22,0.15,-0.28,0.42,28.98,15.94,13.04
2023-08-23,0.8,1.11,-0.31,30.02,17.22,12.79
2023-08-24,-1.96,-1.34,-0.61,27.47,15.65,11.82
2023-08-25,1.12,0.68,0.43,28.9,16.44,12.46
2023-08-28,0.4,0.63,-0.23,29.41,17.17,12.24
2023-08-29,2.5,1.45,1.04,32.65,18.88,13.77
2023-08-30,0.43,0.38,0.05,33.22,19.33,13.89
2023-08-31,0.31,-0.14,0.45,33.63,19.17,14.47
2023-09-01,-0.61,0.19,-0.79,32.82,19.39,13.43
2023-09-04,0.0,0.0,0.0,32.82,19.39,13.43
2023-09-05,0.07,-0.42,0.49,32.91,18.89,14.02
2023-09-06,-0.89,-0.69,-0.19,31.73,18.07,13.66
2023-09-07,0.28,-0.31,0.59,32.1,17.7,14.39
2023-09-08,0.0,0.15,-0.15,32.1,17.88,14.22
2023-09-11,2.69,0.67,2.02,35.65,18.67,16.98
2023-09-12,-0.91,-0.57,-0.34,34.42,18.0,16.42
2023-09-13,0.79,0.13,0.67,35.49,18.15,17.34
2023-09-14,0.98,0.87,0.11,36.82,19.18,17.64
2023-09-15,-1.71,-1.21,-0.5,34.48,17.73,16.74
2023-09-18,-1.09,0.07,-1.16,33.02,17.82,15.2
2023-09-19,-0.5,-0.22,-0.29,32.35,17.57,14.78
2023-09-20,-1.0,-0.93,-0.06,31.03,16.47,14.56
2023-09-21,-2.73,-1.64,-1.09,27.46,14.56,12.89
2023-09-22,-0.98,-0.23,-0.76,26.2,14.3,11.9
2023-09-25,0.62,0.4,0.21,26.98,14.76,12.22
2023-09-26,-1.82,-1.47,-0.36,24.67,13.08,11.59
2023-09-27,-0.38,0.02,-0.41,24.19,13.11,11.08
2023-09-28,1.12,0.6,0.52,25.58,13.79,11.79
2023-09-29,0.53,-0.27,0.8,26.24,13.49,12.76
2023-10-02,0.08,0.01,0.07,26.34,13.5,12.85
2023-10-03,-2.43,-1.37,-1.07,23.27,11.94,11.33
2023-10-04,1.97,0.81,1.16,25.7,12.85,12.85
2023-10-05,-0.5,-0.11,-0.39,25.07,12.73,12.35
2023-10-06,0.7,1.2,-0.5,25.95,14.08,11.88
2023-10-09,0.11,0.63,-0.52,26.09,14.8,11.29
2023-10-10,1.09,0.52,0.57,27.47,15.4,12.07
2023-10-11,0.36,0.43,-0.08,27.92,15.9,12.02
2023-10-12,-1.09,-0.61,-0.48,26.53,15.19,11.34
2023-10-13,-1.47,-0.5,-0.97,24.67,14.61,10.06
2023-10-16,1.62,1.06,0.55,26.68,15.82,10.86
2023-10-17,0.24,-0.01,0.25,26.98,15.81,11.17
2023-10-18,-2.35,-1.34,-1.01,24.0,14.26,9.74
2023-10-19,-2.56,-0.84,-1.72,20.83,13.3,7.53
2023-10-20,-1.55,-1.26,-0.3,18.96,11.88,7.08
2023-10-23,0.12,-0.17,0.29,19.1,11.69,7.41
2023-10-24,1.07,0.73,0.34,20.37,12.5,7.86
2023-10-25,-2.02,-1.43,-0.59,17.94,10.89,7.05
2023-10-26,-1.56,-1.18,-0.38,16.1,9.58,6.51
2023-10-27,1.05,-0.48,1.53,17.31,9.06,8.25
2023-10-30,0.92,1.21,-0.29,18.39,10.38,8.01
2023-10-31,0.76,0.65,0.1,19.28,11.1,8.18
2023-11-01,1.24,1.05,0.19,20.75,12.27,8.49
2023-11-02,2.61,1.89,0.72,23.91,14.39,9.51
2023-11-03,1.41,0.94,0.46,25.65,15.47,10.18
2023-11-06,0.12,0.18,-0.05,25.8,15.68,10.13
2023-11-07,1.12,0.29,0.83,27.21,16.01,11.2
2023-11-08,-0.27,0.11,-0.37,26.87,16.13,10.74
2023-11-09,-1.87,-0.79,-1.08,24.5,15.21,9.29
2023-11-10,1.66,1.58,0.09,26.57,17.03,9.54
2023-11-13,0.43,-0.08,0.5,27.11,16.94,10.17
2023-11-14,3.37,1.93,1.44,31.4,19.2,12.2
2023-11-15,0.12,0.18,-0.06,31.55,19.41,12.14
2023-11-16,-1.03,0.14,-1.17,30.2,19.58,10.62
2023-11-17,0.67,0.13,0.54,31.07,19.73,11.34
2023-11-20,0.51,0.75,-0.23,31.75,20.63,11.12
2023-11-21,-0.26,-0.2,-0.06,31.41,20.39,11.02
2023-11-22,0.3,0.41,-0.11,31.81,20.89,10.92
2023-11-23,0.0,0.0,0.0,31.81,20.89,10.92
2023-11-24,0.1,0.06,0.03,31.94,20.96,10.98
2023-11-27,0.16,-0.19,0.35,32.15,20.73,11.42
2023-11-28,0.58,0.1,0.48,32.91,20.85,12.06
2023-11-29,-0.27,-0.08,-0.19,32.55,20.75,11.8
2023-11-30,-0.14,0.41,-0.55,32.36,21.25,11.11
2023-12-01,1.37,0.6,0.77,34.17,21.97,12.2
2023-12-04,-0.38,-0.54,0.16,33.66,21.31,12.35
2023-12-05,0.18,-0.05,0.23,33.9,21.24,12.65
2023-12-06,0.15,-0.39,0.53,34.09,20.77,13.32
2023-12-07,0.82,0.81,0.01,35.2,21.76,13.44
2023-12-08,0.46,0.41,0.05,35.82,22.26,13.56
2023-12-11,0.27,0.39,-0.13,36.18,22.74,13.44
2023-12-12,0.31,0.46,-0.15,36.6,23.31,13.29
2023-12-13,1.31,1.37,-0.06,38.39,24.99,13.4
2023-12-14,1.34,0.28,1.06,40.25,25.34,14.9
2023-12-15,0.21,0.0,0.21,40.54,25.34,15.2
2023-12-18,0.62,0.45,0.17,41.41,25.91,15.5
2023-12-19,0.78,0.59,0.19,42.52,26.66,15.86
2023-12-20,-1.82,-1.46,-0.37,39.92,24.81,15.1
2023-12-21,1.52,1.03,0.49,42.05,26.1,15.95
2023-12-22,-0.74,0.17,-0.9,41.0,26.31,14.69
2023-12-25,0.0,0.0,0.0,41.0,26.31,14.69
2023-12-26,0.42,0.42,0.0,41.6,26.85,14.75
2023-12-27,0.34,0.15,0.2,42.09,27.03,15.05
2023-12-28,-0.52,0.05,-0.57,41.35,27.09,14.25
2023-12-29,-0.62,-0.28,-0.34,40.48,26.74,13.74
2024-01-01,0.0,0.0,0.0,40.48,26.74,13.74
2024-01-02,-0.93,-0.56,-0.37,39.17,26.03,13.15
2024-01-03,-2.02,-0.8,-1.22,36.36,25.02,11.34
2024-01-04,-0.7,-0.33,-0.37,35.4,24.61,10.79
2024-01-05,0.16,0.18,-0.03,35.61,24.84,10.78
2024-01-08,1.7,1.41,0.29,37.92,26.6,11.32
2024-01-09,-0.37,-0.13,-0.24,37.41,26.43,10.98
2024-01-10,0.8,0.57,0.23,38.51,27.15,11.36
2024-01-11,-0.13,-0.06,-0.07,38.33,27.07,11.26
2024-01-12,-1.2,0.08,-1.29,36.66,27.17,9.49
2024-01-15,0.0,0.0,0.0,36.66,27.17,9.49
2024-01-16,-0.11,-0.37,0.26,36.51,26.7,9.81
2024-01-17,-0.87,-0.56,-0.32,35.31,25.99,9.32
2024-01-18,0.57,0.89,-0.32,36.08,27.11,8.97
2024-01-19,0.96,1.24,-0.27,37.4,28.68,8.71
2024-01-22,-0.44,0.22,-0.66,36.79,28.97,7.82
2024-01-23,-0.24,0.29,-0.54,36.46,29.35,7.11
2024-01-24,-0.38,0.08,-0.46,35.94,29.45,6.49
2024-01-25,-1.24,0.53,-1.77,34.26,30.14,4.12
2024-01-26,0.46,-0.07,0.52,34.87,30.06,4.82
2024-01-29,1.46,0.76,0.7,36.85,31.04,5.8
2024-01-30,-0.06,-0.05,-0.01,36.77,30.97,5.79
2024-01-31,-1.82,-1.61,-0.21,34.28,28.87,5.41
2024-02-01,1.92,1.25,0.68,36.86,30.48,6.38
2024-02-02,1.79,1.07,0.71,39.3,31.88,7.43
2024-02-05,-1.41,-0.32,-1.09,37.34,31.46,5.88
2024-02-06,0.61,0.23,0.37,38.17,31.77,6.41
2024-02-07,1.12,0.83,0.29,39.72,32.85,6.87
2024-02-08,0.44,0.07,0.37,40.33,32.95,7.39
2024-02-09,0.71,0.58,0.13,41.33,33.72,7.61
2024-02-12,-0.08,-0.09,0.01,41.21,33.6,7.62
2024-02-13,-1.99,-1.36,-0.64,38.4,31.79,6.61
2024-02-14,1.06,0.98,0.08,39.86,33.07,6.79
2024-02-15,1.16,0.6,0.55,41.48,33.88,7.6
2024-02-16,-0.59,-0.46,-0.13,40.64,33.26,7.38
2024-02-19,0.0,0.0,0.0,40.64,33.26,7.38
2024-02-20,-0.94,-0.6,-0.35,39.31,32.46,6.85
2024-02-21,0.74,0.13,0.61,40.34,32.63,7.71
2024-02-22,1.94,2.12,-0.18,43.07,35.44,7.62
