date,periodic portfolio,periodic benchmark,periodic +/-,cumulative portfolio,cumulative benchmark,cumulative +/-
2023-08-08,-0.77,-0.64,-0.13,38.77,3.41,35.36
2023-08-09,-1.29,0.03,-1.32,36.98,3.44,33.54
2023-08-10,0.01,-0.41,0.42,37.0,3.02,33.98
2023-08-11,-0.74,0.17,-0.91,35.99,3.2,32.79
2023-08-14,1.59,-0.66,2.25,38.16,2.53,35.63
2023-08-15,-0.98,-1.21,0.22,36.79,1.29,35.51
2023-08-16,-0.95,-1.19,0.23,35.49,0.08,35.41
2023-08-17,-0.95,-0.82,-0.13,34.2,-0.74,34.94
2023-08-18,0.15,0.28,-0.12,34.41,-0.46,34.87
2023-08-21,1.91,-0.88,2.79,36.97,-1.34,38.32
2023-08-22,-0.11,0.34,-0.45,36.82,-1.01,37.83
2023-08-23,1.8,1.6,0.2,39.29,0.58,38.71
2023-08-24,-2.3,-0.44,-1.86,36.08,0.13,35.95
2023-08-25,1.02,0.14,0.88,37.46,0.27,37.19
2023-08-28,0.82,0.9,-0.08,38.59,1.17,37.41
2023-08-29,2.0,1.18,0.83,41.37,2.37,39.0
2023-08-30,0.76,0.41,0.34,42.43,2.79,39.64
2023-08-31,0.49,-0.66,1.15,43.13,2.11,41.02
2023-09-01,0.31,0.03,0.28,43.57,2.14,41.43
2023-09-04,0.0,0.0,0.0,43.57,2.14,41.43
2023-09-05,0.36,-1.11,1.47,44.08,1.0,43.08
2023-09-06,-1.06,-0.13,-0.92,42.56,0.86,41.69
2023-09-07,-1.45,0.58,-2.02,40.49,1.45,39.05
2023-09-08,0.21,-0.48,0.69,40.79,0.96,39.82
2023-09-11,0.52,0.02,0.51,41.52,0.98,40.54
2023-09-12,-1.81,0.04,-1.85,38.95,1.02,37.94
2023-09-13,0.25,-1.13,1.38,39.3,-0.12,39.43
2023-09-14,0.73,1.85,-1.12,40.31,1.72,38.59
2023-09-15,-1.92,-0.42,-1.5,37.62,1.29,36.33
2023-09-18,0.48,-0.91,1.39,38.28,0.37,37.91
2023-09-19,-0.05,-0.44,0.39,38.2,-0.07,38.27
2023-09-20,-1.57,0.15,-1.72,36.03,0.08,35.96
2023-09-21,-1.52,-3.47,1.94,33.96,-3.39,37.35
2023-09-22,0.21,-0.73,0.94,34.24,-4.1,38.34
2023-09-25,0.32,-0.1,0.42,34.68,-4.19,38.87
2023-09-26,-1.8,-1.84,0.04,32.25,-5.96,38.21
2023-09-27,0.15,-0.68,0.84,32.46,-6.6,39.06
2023-09-28,0.71,1.06,-0.35,33.4,-5.61,39.01
2023-09-29,0.34,0.25,0.09,33.85,-5.38,39.23
2023-10-02,1.07,-1.78,2.85,35.29,-7.06,42.35
2023-10-03,-1.7,-2.04,0.34,33.0,-8.95,41.95
2023-10-04,1.25,1.2,0.05,34.65,-7.86,42.51
2023-10-05,0.13,0.59,-0.45,34.83,-7.32,42.15
2023-10-06,1.87,0.22,1.65,37.36,-7.12,44.47
2023-10-09,0.52,1.22,-0.7,38.07,-5.99,44.05
2023-10-10,0.15,0.43,-0.28,38.28,-5.58,43.86
2023-10-11,0.93,1.74,-0.81,39.56,-3.94,43.5
2023-10-12,0.09,-1.49,1.59,39.69,-5.37,45.07
2023-10-13,-1.43,-0.2,-1.23,37.69,-5.57,43.26
2023-10-16,0.96,1.16,-0.2,39.01,-4.47,43.49
2023-10-17,-0.46,-0.16,-0.31,38.37,-4.62,42.99
2023-10-18,-1.03,-2.18,1.16,36.95,-6.7,43.65
2023-10-19,-0.57,-2.36,1.79,36.16,-8.9,45.07
2023-10-20,-1.69,-0.63,-1.06,33.86,-9.48,43.34
2023-10-23,0.12,-0.95,1.06,34.02,-10.34,44.35
2023-10-24,0.69,1.23,-0.54,34.94,-9.23,44.17
2023-10-25,-1.18,-2.08,0.9,33.35,-11.12,44.47
2023-10-26,-1.91,1.92,-3.83,30.8,-9.42,40.22
2023-10-27,0.58,-1.63,2.21,31.56,-10.89,42.45
2023-10-30,1.07,0.61,0.47,32.97,-10.35,43.32
2023-10-31,0.71,1.79,-1.08,33.92,-8.75,42.66
2023-11-01,1.93,0.58,1.35,36.51,-8.21,44.72
2023-11-02,1.69,3.27,-1.58,38.82,-5.21,44.03
2023-11-03,1.03,2.36,-1.33,40.25,-2.97,43.22
2023-11-06,0.66,-1.4,2.05,41.17,-4.33,45.5
2023-11-07,1.09,-0.9,2.0,42.71,-5.19,47.9
2023-11-08,0.57,0.38,0.18,43.52,-4.83,48.35
2023-11-09,-0.47,-1.63,1.16,42.85,-6.37,49.23
2023-11-10,2.61,1.03,1.59,46.58,-5.41,52.0
2023-11-13,-0.58,-0.9,0.31,45.72,-6.26,51.99
2023-11-14,2.0,5.58,-3.58,48.64,-1.03,49.67
2023-11-15,0.13,0.25,-0.12,48.83,-0.78,49.61
2023-11-16,0.5,-0.2,0.7,49.57,-0.98,50.55
2023-11-17,-0.21,-0.08,-0.12,49.26,-1.06,50.32
2023-11-20,1.45,0.69,0.76,51.42,-0.38,51.8
2023-11-21,-0.81,-0.63,-0.18,50.2,-1.01,51.21
2023-11-22,0.45,0.46,-0.01,50.87,-0.56,51.42
2023-11-23,0.0,0.0,0.0,50.87,-0.56,51.42
2023-11-24,-0.19,0.39,-0.58,50.57,-0.17,50.74
2023-11-27,-0.01,0.32,-0.33,50.57,0.15,50.41
2023-11-28,0.19,0.59,-0.4,50.85,0.74,50.11
2023-11-29,0.08,0.69,-0.61,50.97,1.44,49.53
2023-11-30,0.15,0.77,-0.62,51.19,2.21,48.97
2023-12-01,0.23,2.43,-2.2,51.53,4.69,46.84
2023-12-04,-1.22,0.71,-1.93,49.68,5.44,44.24
2023-12-05,0.6,-0.65,1.25,50.58,4.75,45.83
2023-12-06,-0.85,-0.28,-0.57,49.31,4.46,44.85
2023-12-07,1.21,0.29,0.93,51.12,4.76,46.36
2023-12-08,0.85,-0.16,1.01,52.41,4.6,47.82
2023-12-11,0.87,0.29,0.58,53.74,4.9,48.84
2023-12-12,0.66,-0.04,0.7,54.76,4.86,49.9
2023-12-13,0.88,3.78,-2.89,56.13,8.82,47.3
2023-12-14,-0.25,2.92,-3.16,55.74,12.0,43.75
2023-12-15,0.5,-1.28,1.78,56.53,10.57,45.96
2023-12-18,0.3,-0.39,0.69,56.99,10.14,46.86
2023-12-19,0.38,0.75,-0.37,57.59,10.96,46.63
2023-12-20,-1.51,-1.23,-0.28,55.21,9.6,45.61
2023-12-21,1.12,0.93,0.19,56.95,10.62,46.34
2023-12-22,0.13,0.33,-0.2,57.16,10.98,46.18
2023-12-25,0.0,0.0,0.0,57.16,10.98,46.18
2023-12-26,0.42,0.83,-0.42,57.81,11.9,45.91
2023-12-27,-0.01,0.5,-0.5,57.8,12.46,45.34
2023-12-28,0.12,0.63,-0.51,57.99,13.17,44.82
2023-12-29,-0.31,-1.19,0.89,57.51,11.82,45.69
2024-01-01,0.0,0.0,0.0,57.51,11.82,45.69
2024-01-02,-2.62,0.88,-3.49,53.39,12.8,40.58
2024-01-03,-1.02,-2.39,1.37,51.82,10.11,41.71
2024-01-04,-0.73,-0.2,-0.53,50.71,9.89,40.82
2024-01-05,-0.03,-0.24,0.21,50.67,9.62,41.05
2024-01-08,2.51,1.51,1.0,54.45,11.28,43.17
2024-01-09,0.16,-0.73,0.89,54.69,10.47,44.23
2024-01-10,0.85,0.15,0.71,56.01,10.63,45.38
2024-01-11,0.51,-0.94,1.45,56.81,9.58,47.22
2024-01-12,0.32,0.65,-0.33,57.31,10.3,47.01
2024-01-15,0.0,0.0,0.0,57.31,10.3,47.01
2024-01-16,0.25,-0.73,0.98,57.71,9.5,48.21
2024-01-17,-0.49,-1.85,1.35,56.93,7.48,49.45
2024-01-18,2.03,-0.6,2.63,60.11,6.83,53.28
2024-01-19,2.31,1.22,1.09,63.8,8.13,55.67
2024-01-22,0.44,0.56,-0.12,64.52,8.73,55.79
2024-01-23,0.4,-0.61,1.01,65.19,8.07,57.12
2024-01-24,0.69,-1.41,2.1,66.32,6.54,59.78
2024-01-25,0.42,1.22,-0.8,67.02,7.84,59.18
2024-01-26,-1.15,-0.26,-0.89,65.1,7.56,57.53
2024-01-29,0.92,0.71,0.2,66.61,8.33,58.28
2024-01-30,-0.83,-0.95,0.13,65.23,7.3,57.93
2024-01-31,-2.1,-0.93,-1.17,61.77,6.3,55.46
2024-02-01,1.26,1.78,-0.52,63.8,8.19,55.61
2024-02-02,1.03,-1.29,2.33,65.5,6.79,58.7
2024-02-05,0.23,-2.02,2.25,65.87,4.63,61.24
2024-02-06,-0.46,1.35,-1.81,65.11,6.05,59.06
2024-02-07,1.32,-0.17,1.49,67.3,5.87,61.43
2024-02-08,0.31,0.81,-0.5,67.82,6.73,61.09
2024-02-09,1.35,0.18,1.16,70.08,6.93,63.15
2024-02-12,-0.76,-0.09,-0.67,68.79,6.83,61.96
2024-02-13,-1.7,-2.04,0.34,65.92,4.65,61.27
2024-02-14,1.05,0.78,0.26,67.66,5.47,62.19
2024-02-15,-0.21,2.36,-2.57,67.31,7.96,59.34
2024-02-16,-0.92,-0.98,0.06,65.77,6.91,58.86
2024-02-19,0.0,0.0,0.0,65.77,6.91,58.86
2024-02-20,-1.02,-0.29,-0.73,64.08,6.6,57.48
2024-02-21,-0.63,0.63,-1.26,63.05,7.27,55.78
2024-02-22,3.27,0.21,3.06,68.39,7.5,60.89
2024-02-23,-0.23,-0.1,-0.13,67.99,7.39,60.6
2024-02-26,0.1,-1.12,1.22,68.16,6.19,61.97
2024-02-27,0.09,0.19,-0.1,68.3,6.39,61.92
2024-02-28,-0.47,1.0,-1.47,67.51,7.45,60.06
2024-02-29,1.11,0.91,0.2,69.38,8.43,60.95
2024-03-01,1.83,1.02,0.8,72.47,9.54,62.93
2024-03-04,0.0,0.96,-0.96,72.47,10.59,61.88
2024-03-05,-2.46,-1.19,-1.26,68.23,9.27,58.96
2024-03-06,0.79,0.51,0.29,69.56,9.83,59.74
2024-03-07,1.58,0.06,1.52,72.24,9.89,62.35
2024-03-08,-1.49,1.08,-2.57,69.68,11.08,58.6
2024-03-11,-0.27,-0.42,0.15,69.21,10.61,58.6
2024-03-12,2.05,-0.28,2.33,72.68,10.3,62.38
2024-03-13,-1.08,-0.51,-0.58,70.82,9.74,61.07
