date,periodic portfolio,periodic benchmark,periodic +/-,cumulative portfolio,cumulative benchmark,cumulative +/-
2024-01-09,-0.01,-0.24,0.23,5.32,15.75,-10.43
2024-01-10,0.46,0.48,-0.02,5.8,16.3,-10.5
2024-01-11,-0.07,-0.2,0.13,5.73,16.07,-10.35
2024-01-12,-0.25,-0.04,-0.2,5.46,16.02,-10.56
2024-01-15,0.0,0.0,0.0,5.46,16.02,-10.56
2024-01-16,-0.6,-0.98,0.38,4.83,14.88,-10.05
2024-01-17,-0.2,-0.67,0.47,4.62,14.11,-9.49
2024-01-18,-0.01,1.35,-1.36,4.61,15.66,-11.05
2024-01-19,0.06,0.63,-0.57,4.67,16.39,-11.72
2024-01-22,0.44,0.74,-0.3,5.13,17.25,-12.12
2024-01-23,-0.07,-0.06,-0.01,5.05,17.18,-12.13
2024-01-24,-0.91,-0.64,-0.27,4.09,16.43,-12.34
2024-01-25,-0.15,0.97,-1.13,3.93,17.56,-13.63
2024-01-26,0.57,-0.14,0.71,4.52,17.39,-12.87
2024-01-29,0.7,0.64,0.07,5.26,18.14,-12.88
2024-01-30,0.23,0.05,0.18,5.5,18.2,-12.7
2024-01-31,-0.14,-1.14,1.0,5.36,16.85,-11.49
2024-02-01,1.3,1.71,-0.41,6.72,18.85,-12.13
2024-02-02,-0.15,0.65,-0.8,6.57,19.62,-13.06
2024-02-05,0.31,-0.54,0.85,6.9,18.98,-12.08
2024-02-06,1.09,0.89,0.2,8.06,20.04,-11.98
2024-02-07,0.27,0.64,-0.37,8.35,20.81,-12.46
2024-02-08,-0.17,0.06,-0.23,8.16,20.88,-12.72
2024-02-09,-0.08,0.12,-0.19,8.08,21.03,-12.95
2024-02-12,0.13,0.13,0.0,8.22,21.19,-12.96
2024-02-13,-0.93,-1.01,0.08,7.22,19.96,-12.74
2024-02-14,0.87,1.68,-0.81,8.15,21.98,-13.83
2024-02-15,0.73,0.72,0.01,8.94,22.86,-13.92
2024-02-16,0.32,-0.56,0.89,9.29,22.17,-12.88
2024-02-19,0.0,0.0,0.0,9.29,22.17,-12.88
2024-02-20,-0.34,-0.35,0.01,8.92,21.74,-12.82
2024-02-21,0.22,0.42,-0.2,9.16,22.25,-13.09
2024-02-22,1.18,1.25,-0.07,10.45,23.78,-13.33
2024-02-23,0.48,0.51,-0.03,10.97,24.41,-13.44
2024-02-26,-0.51,-0.11,-0.4,10.4,24.27,-13.87
2024-02-27,-0.24,0.12,-0.36,10.13,24.41,-14.28
2024-02-28,-0.5,0.33,-0.82,9.58,24.82,-15.24
2024-02-29,-0.82,0.39,-1.2,8.69,25.3,-16.61
2024-03-01,1.05,0.36,0.69,9.83,25.75,-15.92
2024-03-04,-0.15,0.38,-0.53,9.67,26.23,-16.57
2024-03-05,-0.75,-0.82,0.08,8.85,25.19,-16.34
2024-03-06,0.68,0.5,0.19,9.59,25.81,-16.22
2024-03-07,0.47,0.85,-0.39,10.1,26.89,-16.79
