date,periodic portfolio,periodic benchmark,periodic +/-,cumulative portfolio,cumulative benchmark,cumulative +/-
2023-05-22,-0.41,-0.33,-0.09,-5.07,-4.93,-0.14
2023-05-23,1.07,1.0,0.08,-4.05,-3.98,-0.07
2023-05-24,0.44,0.51,-0.08,-3.63,-3.48,-0.15
2023-05-25,-1.78,-1.87,0.09,-5.34,-5.29,-0.06
2023-05-26,-0.39,-0.35,-0.05,-5.72,-5.62,-0.1
2023-05-29,0.0,0.0,0.0,-5.72,-5.62,-0.1
2023-05-30,-1.03,-0.97,-0.06,-6.68,-6.53,-0.15
2023-05-31,-1.76,-1.82,0.06,-8.32,-8.23,-0.09
2023-06-01,1.24,1.26,-0.02,-7.19,-7.07,-0.12
2023-06-02,3.04,3.03,0.01,-4.36,-4.25,-0.11
2023-06-05,-0.66,-0.61,-0.05,-5.0,-4.84,-0.16
2023-06-06,0.81,0.76,0.05,-4.23,-4.12,-0.11
2023-06-07,2.65,2.68,-0.03,-1.69,-1.55,-0.14
2023-06-08,-0.43,-0.45,0.03,-2.11,-1.99,-0.12
2023-06-09,-0.55,-0.54,-0.02,-2.65,-2.52,-0.13
2023-06-12,-0.96,-0.97,0.01,-3.58,-3.46,-0.12
2023-06-13,0.47,0.5,-0.03,-3.13,-2.98,-0.15
2023-06-14,-1.03,-1.08,0.05,-4.12,-4.03,-0.09
2023-06-15,1.1,1.06,0.04,-3.07,-3.01,-0.06
2023-06-16,-0.15,-0.08,-0.06,-3.21,-3.1,-0.12
2023-06-19,0.0,0.0,0.0,-3.21,-3.1,-0.12
2023-06-20,-2.22,-2.27,0.05,-5.36,-5.29,-0.07
2023-06-21,0.79,0.86,-0.07,-4.61,-4.48,-0.14
2023-06-22,-1.34,-1.32,-0.02,-5.89,-5.74,-0.16
2023-06-23,-0.72,-0.77,0.05,-6.57,-6.46,-0.1
2023-06-26,1.8,1.76,0.04,-4.89,-4.82,-0.07
2023-06-27,0.23,0.28,-0.05,-4.67,-4.55,-0.12
2023-06-28,1.01,1.0,0.02,-3.71,-3.6,-0.11
2023-06-29,1.15,1.14,0.01,-2.6,-2.5,-0.09
2023-06-30,0.64,0.62,0.02,-1.97,-1.89,-0.07
2023-07-03,0.23,0.32,-0.08,-1.74,-1.58,-0.16
2023-07-04,0.0,0.0,0.0,-1.74,-1.58,-0.16
2023-07-05,-0.55,-0.57,0.01,-2.28,-2.14,-0.14
2023-07-06,-2.25,-2.27,0.02,-4.48,-4.36,-0.12
2023-07-07,2.15,2.2,-0.05,-2.43,-2.26,-0.17
2023-07-10,0.78,0.67,0.11,-1.67,-1.6,-0.07
2023-07-11,2.2,2.25,-0.05,0.5,0.62,-0.12
2023-07-12,0.93,0.89,0.03,1.43,1.51,-0.09
2023-07-13,-0.38,-0.39,0.01,1.04,1.11,-0.07
2023-07-14,-2.64,-2.64,0.0,-1.63,-1.56,-0.07
2023-07-17,-0.2,-0.15,-0.05,-1.82,-1.71,-0.12
2023-07-18,1.01,1.06,-0.05,-0.83,-0.66,-0.17
2023-07-19,0.58,0.5,0.08,-0.25,-0.16,-0.09
2023-07-20,1.17,1.22,-0.05,0.92,1.06,-0.14
2023-07-21,0.89,0.84,0.04,1.81,1.91,-0.1
2023-07-24,1.61,1.67,-0.05,3.46,3.61,-0.15
2023-07-25,0.53,0.56,-0.03,4.0,4.18,-0.18
2023-07-26,0.03,-0.07,0.1,4.04,4.11,-0.08
2023-07-27,-0.64,-0.6,-0.04,3.37,3.49,-0.12
2023-07-28,0.3,0.28,0.03,3.68,3.78,-0.09
2023-07-31,1.9,1.94,-0.04,5.65,5.79,-0.14
2023-08-01,-0.47,-0.45,-0.02,5.16,5.32,-0.16
2023-08-02,-1.31,-1.31,0.0,3.78,3.93,-0.15
2023-08-03,1.01,0.97,0.04,4.83,4.95,-0.11
2023-08-04,0.14,0.09,0.05,4.98,5.04,-0.06
2023-08-07,0.12,0.18,-0.07,5.1,5.23,-0.13
2023-08-08,0.49,0.47,0.02,5.62,5.72,-0.11
2023-08-09,1.26,1.23,0.03,6.95,7.02,-0.08
2023-08-10,-0.01,0.06,-0.07,6.93,7.08,-0.15
2023-08-11,1.54,1.55,-0.01,8.58,8.74,-0.17
2023-08-14,-0.42,-0.39,-0.03,8.12,8.32,-0.2
2023-08-15,-2.08,-2.15,0.07,5.87,5.98,-0.11
2023-08-16,-0.87,-0.83,-0.03,4.95,5.1,-0.15
2023-08-17,1.2,1.21,-0.02,6.21,6.38,-0.17
2023-08-18,0.99,0.91,0.07,7.26,7.35,-0.09
2023-08-21,-0.63,-0.6,-0.03,6.58,6.7,-0.12
2023-08-22,-0.77,-0.77,0.0,5.76,5.88,-0.12
2023-08-23,-0.25,-0.27,0.02,5.5,5.59,-0.1
2023-08-24,-0.69,-0.71,0.02,4.77,4.84,-0.07
2023-08-25,0.97,0.99,-0.02,5.79,5.88,-0.09
2023-08-28,0.67,0.7,-0.03,6.5,6.62,-0.12
2023-08-29,0.27,0.28,-0.01,6.79,6.93,-0.14
2023-08-30,0.5,0.45,0.05,7.32,7.4,-0.08
2023-08-31,0.07,0.12,-0.05,7.39,7.53,-0.14
2023-09-01,2.05,2.02,0.03,9.59,9.7,-0.11
2023-09-04,0.0,0.0,0.0,9.59,9.7,-0.11
2023-09-05,0.53,0.57,-0.04,10.17,10.33,-0.16
2023-09-06,0.04,0.06,-0.02,10.22,10.39,-0.18
2023-09-07,-0.1,-0.12,0.02,10.11,10.26,-0.15
2023-09-08,0.97,0.99,-0.02,11.17,11.35,-0.18
2023-09-11,-1.31,-1.28,-0.03,9.71,9.92,-0.21
2023-09-12,2.36,2.25,0.1,12.3,12.4,-0.1
2023-09-13,-0.75,-0.75,0.0,11.45,11.55,-0.1
2023-09-14,1.17,1.21,-0.04,12.75,12.9,-0.14
2023-09-15,-1.45,-1.33,-0.12,11.12,11.4,-0.28
2023-09-18,0.84,0.68,0.16,12.06,12.15,-0.1
2023-09-19,-0.93,-0.88,-0.05,11.01,11.17,-0.15
2023-09-20,-0.93,-0.93,0.0,9.98,10.13,-0.15
2023-09-21,-1.37,-1.37,0.0,8.47,8.62,-0.15
2023-09-22,0.17,0.14,0.03,8.65,8.77,-0.12
2023-09-25,1.25,1.26,-0.01,10.02,10.15,-0.13
2023-09-26,-0.58,-0.55,-0.02,9.38,9.54,-0.16
2023-09-27,2.49,2.47,0.02,12.11,12.25,-0.14
2023-09-28,0.11,0.1,0.01,12.23,12.36,-0.13
2023-09-29,-2.02,-1.97,-0.04,9.97,10.14,-0.17
2023-10-02,-1.99,-1.94,-0.05,7.78,8.0,-0.22
2023-10-03,-0.07,-0.1,0.03,7.7,7.9,-0.19
2023-10-04,-3.14,-3.31,0.17,4.32,4.32,0.0
2023-10-05,-0.62,-0.48,-0.14,3.68,3.82,-0.15
2023-10-06,0.6,0.57,0.03,4.3,4.41,-0.12
2023-10-09,3.34,3.41,-0.07,7.78,7.97,-0.2
2023-10-10,0.12,0.09,0.04,7.91,8.07,-0.16
2023-10-11,-1.29,-1.19,-0.1,6.52,6.78,-0.26
2023-10-12,0.11,0.05,0.06,6.65,6.84,-0.2
2023-10-13,2.2,2.14,0.06,8.99,9.13,-0.13
2023-10-16,0.67,0.76,-0.09,9.72,9.95,-0.23
2023-10-17,1.04,0.99,0.05,10.87,11.04,-0.17
2023-10-18,0.91,0.9,0.01,11.88,12.04,-0.16
2023-10-19,-0.17,-0.14,-0.04,11.68,11.88,-0.2
2023-10-20,-1.68,-1.72,0.04,9.81,9.96,-0.15
