date,periodic portfolio,periodic benchmark,periodic +/-,cumulative portfolio,cumulative benchmark,cumulative +/-
2023-08-29,0.38,2.2,-1.83,-8.01,39.83,-47.85
2023-08-30,-0.45,0.08,-0.53,-8.43,39.94,-48.37
2023-08-31,-0.96,0.07,-1.03,-9.31,40.04,-49.35
2023-09-01,-0.51,-0.92,0.41,-9.77,38.75,-48.52
2023-09-04,0.0,0.0,0.0,-9.77,38.75,-48.52
2023-09-05,-1.53,-0.03,-1.51,-11.15,38.72,-49.87
2023-09-06,0.23,-0.37,0.59,-10.95,38.21,-49.16
2023-09-07,1.31,-0.11,1.42,-9.79,38.06,-47.84
2023-09-08,0.88,0.28,0.6,-8.99,38.45,-47.44
2023-09-11,0.41,1.46,-1.05,-8.62,40.47,-49.09
2023-09-12,0.13,-0.97,1.09,-8.5,39.12,-47.62
2023-09-13,1.2,0.28,0.91,-7.41,39.51,-46.92
2023-09-14,1.46,1.38,0.08,-6.06,41.43,-47.49
2023-09-15,-0.43,-1.26,0.83,-6.46,39.65,-46.11
2023-09-18,-0.07,0.06,-0.13,-6.53,39.73,-46.26
2023-09-19,-0.54,0.07,-0.61,-7.04,39.82,-46.86
2023-09-20,0.09,-1.36,1.45,-6.95,37.92,-44.87
2023-09-21,-1.05,-1.2,0.15,-7.92,36.27,-44.19
2023-09-22,-0.19,-0.14,-0.05,-8.1,36.09,-44.18
2023-09-25,-0.14,0.16,-0.3,-8.23,36.3,-44.53
2023-09-26,-2.99,-1.06,-1.93,-10.97,34.86,-45.83
2023-09-27,-1.92,0.26,-2.18,-12.69,35.21,-47.89
2023-09-28,-2.16,1.06,-3.22,-14.57,36.64,-51.21
2023-09-29,0.17,-0.5,0.67,-14.43,35.96,-50.39
2023-10-02,-4.65,0.74,-5.39,-18.41,36.97,-55.38
2023-10-03,1.16,-1.34,2.49,-17.46,35.14,-52.6
2023-10-04,-0.11,0.93,-1.03,-17.55,36.39,-53.94
2023-10-05,-0.58,-0.14,-0.44,-18.03,36.2,-54.23
2023-10-06,1.42,1.83,-0.41,-16.87,38.69,-55.56
2023-10-09,1.0,1.1,-0.1,-16.04,40.21,-56.25
2023-10-10,1.37,0.59,0.77,-14.89,41.05,-55.94
2023-10-11,1.62,0.86,0.76,-13.51,42.26,-55.77
2023-10-12,-1.54,-1.12,-0.42,-14.85,40.66,-55.51
2023-10-13,1.13,-1.16,2.28,-13.89,39.03,-52.93
2023-10-16,1.03,1.53,-0.51,-13.0,41.17,-54.17
2023-10-17,-0.27,0.42,-0.69,-13.24,41.76,-55.0
2023-10-18,-0.87,-1.72,0.85,-13.99,39.33,-53.32
2023-10-19,-1.0,-0.07,-0.93,-14.85,39.23,-54.08
2023-10-20,-1.04,-1.0,-0.04,-15.73,37.83,-53.57
2023-10-23,-0.84,0.53,-1.38,-16.45,38.57,-55.01
2023-10-24,2.57,1.16,1.41,-14.3,40.18,-54.47
2023-10-25,0.56,-4.27,4.83,-13.82,34.19,-48.0
2023-10-26,0.86,-2.18,3.03,-13.08,31.27,-44.34
2023-10-27,-1.89,-0.36,-1.53,-14.72,30.8,-45.52
2023-10-30,0.77,1.98,-1.22,-14.06,33.39,-47.46
2023-10-31,0.86,0.54,0.32,-13.32,34.12,-47.44
2023-11-01,1.14,1.47,-0.33,-12.34,36.08,-48.42
2023-11-02,1.87,1.31,0.56,-10.7,37.86,-48.56
2023-11-03,0.59,1.6,-1.01,-10.17,40.06,-50.24
2023-11-06,-0.26,-0.31,0.05,-10.41,39.63,-50.04
2023-11-07,-0.73,0.52,-1.25,-11.06,40.36,-51.42
2023-11-08,-0.73,-0.41,-0.33,-11.71,39.78,-51.5
2023-11-09,-1.32,-0.06,-1.26,-12.87,39.71,-52.58
2023-11-10,0.53,1.57,-1.03,-12.41,41.9,-54.31
2023-11-13,-1.19,-0.22,-0.98,-13.45,41.59,-55.05
2023-11-14,3.99,1.65,2.34,-10.0,43.93,-53.93
2023-11-15,-0.31,0.49,-0.79,-10.27,44.63,-54.91
2023-11-16,0.53,0.44,0.1,-9.8,45.26,-55.06
2023-11-17,0.27,-0.05,0.32,-9.55,45.2,-54.75
2023-11-20,-0.31,1.11,-1.42,-9.82,46.81,-56.64
2023-11-21,0.21,-0.3,0.51,-9.64,46.38,-56.01
2023-11-22,0.48,0.79,-0.31,-9.2,47.54,-56.74
2023-11-23,0.0,0.0,0.0,-9.2,47.54,-56.74
2023-11-24,0.26,-0.34,0.59,-8.97,47.04,-56.01
2023-11-27,0.16,-0.58,0.74,-8.82,46.18,-55.01
2023-11-28,0.32,0.23,0.09,-8.53,46.52,-55.05
