date,periodic portfolio,periodic benchmark,periodic +/-,cumulative portfolio,cumulative benchmark,cumulative +/-
2023-05-22,-1.51,0.03,-1.54,1.15,10.36,-9.21
2023-05-23,-0.74,-1.12,0.38,0.41,9.13,-8.72
2023-05-24,-0.65,-0.73,0.08,-0.24,8.33,-8.57
2023-05-25,-0.76,0.88,-1.64,-1.0,9.28,-10.28
2023-05-26,0.34,1.31,-0.97,-0.66,10.72,-11.38
2023-05-29,0.0,0.0,0.0,-0.66,10.72,-11.38
2023-05-30,-1.14,0.01,-1.15,-1.8,10.73,-12.53
2023-05-31,0.11,-0.59,0.7,-1.69,10.07,-11.76
2023-06-01,-0.08,1.0,-1.09,-1.77,11.18,-12.95
2023-06-02,1.38,1.46,-0.08,-0.42,12.8,-13.22
2023-06-05,-0.37,-0.2,-0.17,-0.78,12.58,-13.36
2023-06-06,-0.5,0.24,-0.74,-1.28,12.84,-14.13
2023-06-07,-0.33,-0.38,0.05,-1.61,12.42,-14.03
2023-06-08,0.69,0.63,0.06,-0.93,13.13,-14.06
2023-06-09,-0.16,0.12,-0.28,-1.1,13.26,-14.35
2023-06-12,-0.03,0.93,-0.96,-1.12,14.31,-15.44
2023-06-13,0.41,0.7,-0.29,-0.72,15.11,-15.83
2023-06-14,0.61,0.11,0.51,-0.11,15.23,-15.34
2023-06-15,1.0,1.24,-0.23,0.89,16.66,-15.76
2023-06-16,0.12,-0.37,0.49,1.01,16.23,-15.22
2023-06-19,0.0,0.0,0.0,1.01,16.23,-15.22
2023-06-20,-0.76,-0.47,-0.28,0.25,15.68,-15.43
2023-06-21,0.35,-0.52,0.87,0.61,15.08,-14.48
2023-06-22,0.58,0.38,0.2,1.19,15.52,-14.33
2023-06-23,-0.66,-0.77,0.11,0.52,14.64,-14.11
2023-06-26,0.14,-0.45,0.58,0.66,14.12,-13.46
2023-06-27,0.3,1.15,-0.85,0.96,15.43,-14.47
2023-06-28,-0.67,-0.04,-0.64,0.28,15.39,-15.11
2023-06-29,-0.1,0.46,-0.55,0.18,15.92,-15.74
2023-06-30,0.87,1.23,-0.36,1.06,17.35,-16.29
2023-07-03,0.78,0.12,0.66,1.85,17.49,-15.64
2023-07-04,0.0,0.0,0.0,1.85,17.49,-15.64
2023-07-05,-0.17,-0.18,0.01,1.67,17.27,-15.6
2023-07-06,-0.25,-0.78,0.53,1.41,16.35,-14.94
2023-07-07,-1.3,-0.27,-1.03,0.09,16.04,-15.95
2023-07-10,-0.03,0.24,-0.27,0.06,16.32,-16.26
2023-07-11,0.15,0.68,-0.53,0.21,17.1,-16.89
2023-07-12,0.23,0.74,-0.51,0.44,17.97,-17.53
2023-07-13,0.42,0.86,-0.44,0.86,18.99,-18.12
2023-07-14,0.34,-0.1,0.44,1.21,18.87,-17.66
2023-07-17,-0.3,0.39,-0.68,0.91,19.33,-18.42
2023-07-18,-0.11,0.71,-0.82,0.8,20.18,-19.38
2023-07-19,1.01,0.24,0.78,1.82,20.46,-18.64
2023-07-20,0.86,-0.67,1.52,2.69,19.66,-16.97
2023-07-21,0.34,0.03,0.31,3.04,19.7,-16.65
2023-07-24,0.38,0.4,-0.02,3.44,20.18,-16.74
2023-07-25,-0.03,0.28,-0.31,3.41,20.52,-17.11
2023-07-26,0.12,-0.01,0.13,3.54,20.51,-16.97
2023-07-27,-0.88,-0.64,-0.25,2.62,19.74,-17.12
2023-07-28,1.04,1.0,0.04,3.69,20.93,-17.25
2023-07-31,-0.46,0.15,-0.61,3.21,21.12,-17.91
2023-08-01,-0.54,-0.26,-0.28,2.65,20.8,-18.15
2023-08-02,0.36,-1.38,1.74,3.02,19.13,-16.11
2023-08-03,-0.28,-0.25,-0.03,2.73,18.83,-16.1
2023-08-04,-0.99,-0.52,-0.47,1.71,18.21,-16.5
2023-08-07,0.82,0.9,-0.09,2.54,19.28,-16.74
2023-08-08,-0.72,-0.42,-0.3,1.81,18.77,-16.97
2023-08-09,0.15,-0.7,0.84,1.95,17.95,-15.99
2023-08-10,-0.2,0.04,-0.24,1.75,17.99,-16.24
2023-08-11,0.16,-0.09,0.25,1.91,17.88,-15.97
2023-08-14,-0.49,0.58,-1.08,1.41,18.57,-17.16
2023-08-15,-1.07,-1.14,0.06,0.32,17.22,-16.9
2023-08-16,-0.23,-0.74,0.51,0.09,16.35,-16.26
2023-08-17,-0.97,-0.75,-0.21,-0.88,15.48,-16.35
2023-08-18,0.37,-0.01,0.38,-0.51,15.47,-15.98
2023-08-21,-0.67,0.69,-1.36,-1.18,16.26,-17.44
2023-08-22,-0.57,-0.28,-0.29,-1.74,15.94,-17.68
