date,periodic portfolio,periodic benchmark,periodic +/-,cumulative portfolio,cumulative benchmark,cumulative +/-
2023-07-11,1.18,1.2,-0.02,11.63,11.66,-0.04
2023-07-12,-0.17,-0.2,0.03,11.43,11.44,-0.01
2023-07-13,0.13,0.15,-0.02,11.57,11.61,-0.03
2023-07-14,-0.29,-0.33,0.04,11.25,11.24,0.01
2023-07-17,0.38,0.42,-0.04,11.67,11.71,-0.04
2023-07-18,0.56,0.57,-0.01,12.29,12.34,-0.05
2023-07-19,-0.05,-0.03,-0.02,12.24,12.31,-0.07
2023-07-20,0.45,0.41,0.04,12.74,12.77,-0.02
2023-07-21,-0.47,-0.46,-0.01,12.21,12.25,-0.04
2023-07-24,0.23,0.24,-0.01,12.47,12.51,-0.05
2023-07-25,-0.13,-0.13,0.0,12.32,12.37,-0.05
2023-07-26,0.7,0.67,0.03,13.11,13.12,-0.01
2023-07-27,-0.86,-0.82,-0.04,12.14,12.2,-0.06
2023-07-28,0.62,0.62,0.0,12.83,12.89,-0.06
2023-07-31,0.24,0.23,0.01,13.1,13.15,-0.05
2023-08-01,0.3,0.32,-0.02,13.44,13.51,-0.07
2023-08-02,-1.05,-1.08,0.03,12.25,12.28,-0.03
2023-08-03,-0.63,-0.6,-0.03,11.54,11.61,-0.06
2023-08-04,-0.61,-0.64,0.04,10.87,10.89,-0.02
2023-08-07,1.23,1.26,-0.03,12.23,12.28,-0.05
2023-08-08,-0.46,-0.46,0.0,11.72,11.77,-0.05
2023-08-09,-0.06,-0.08,0.02,11.66,11.69,-0.03
2023-08-10,-0.28,-0.25,-0.03,11.35,11.41,-0.06
2023-08-11,0.17,0.15,0.02,11.53,11.57,-0.04
2023-08-14,0.04,0.03,0.0,11.57,11.61,-0.03
2023-08-15,-1.28,-1.27,0.0,10.15,10.19,-0.04
2023-08-16,-0.56,-0.55,-0.01,9.54,9.58,-0.05
2023-08-17,-0.84,-0.81,-0.03,8.61,8.7,-0.09
2023-08-18,0.19,0.15,0.04,8.82,8.86,-0.04
2023-08-21,-0.12,-0.14,0.01,8.69,8.71,-0.02
2023-08-22,-0.24,-0.2,-0.03,8.43,8.49,-0.06
2023-08-23,1.03,0.99,0.04,9.55,9.57,-0.02
2023-08-24,-1.22,-1.21,-0.01,8.21,8.24,-0.03
2023-08-25,0.84,0.87,-0.03,9.13,9.19,-0.06
2023-08-28,0.82,0.78,0.03,10.02,10.04,-0.03
2023-08-29,0.76,0.78,-0.01,10.86,10.9,-0.04
2023-08-30,0.45,0.48,-0.02,11.36,11.43,-0.07
2023-08-31,-0.45,-0.48,0.03,10.86,10.89,-0.04
2023-09-01,0.53,0.53,0.0,11.44,11.48,-0.04
2023-09-04,0.0,0.0,0.0,11.44,11.48,-0.04
2023-09-05,-1.68,-1.68,0.0,9.57,9.6,-0.03
2023-09-06,-0.43,-0.48,0.05,9.1,9.08,0.02
2023-09-07,-0.33,-0.29,-0.04,8.74,8.76,-0.02
2023-09-08,-0.5,-0.45,-0.05,8.19,8.27,-0.07
2023-09-11,0.03,-0.01,0.04,8.22,8.26,-0.03
2023-09-12,-0.36,-0.37,0.01,7.84,7.86,-0.02
2023-09-13,-0.66,-0.66,0.0,7.12,7.14,-0.02
2023-09-14,0.98,0.99,-0.01,8.17,8.2,-0.03
2023-09-15,-0.58,-0.53,-0.05,7.55,7.63,-0.08
2023-09-18,0.11,0.11,0.0,7.67,7.75,-0.08
2023-09-19,-0.42,-0.46,0.04,7.22,7.25,-0.03
2023-09-20,-0.39,-0.39,0.0,6.79,6.83,-0.04
2023-09-21,-1.64,-1.63,-0.01,5.05,5.09,-0.05
2023-09-22,-0.34,-0.33,-0.01,4.69,4.75,-0.06
2023-09-25,0.5,0.46,0.04,5.21,5.23,-0.02
2023-09-26,-1.52,-1.52,-0.01,3.61,3.63,-0.03
2023-09-27,0.74,0.76,-0.02,4.38,4.42,-0.05
2023-09-28,0.42,0.45,-0.03,4.82,4.89,-0.08
2023-09-29,-0.53,-0.59,0.06,4.26,4.28,-0.02
2023-10-02,-0.98,-0.91,-0.06,3.25,3.33,-0.08
2023-10-03,-0.7,-0.74,0.04,2.53,2.56,-0.04
2023-10-04,0.32,0.38,-0.06,2.85,2.96,-0.1
2023-10-05,-0.59,-0.63,0.04,2.25,2.31,-0.06
2023-10-06,1.37,1.33,0.04,3.65,3.67,-0.03
2023-10-09,1.57,1.61,-0.04,5.27,5.34,-0.07
2023-10-10,0.61,0.57,0.03,5.91,5.94,-0.04
2023-10-11,0.6,0.63,-0.02,6.55,6.61,-0.06
2023-10-12,-0.91,-0.93,0.02,5.58,5.61,-0.03
2023-10-13,-0.89,-0.85,-0.03,4.64,4.71,-0.07
2023-10-16,1.06,1.05,0.01,5.76,5.81,-0.06
2023-10-17,0.31,0.31,0.0,6.08,6.14,-0.06
2023-10-18,-2.41,-2.43,0.02,3.52,3.56,-0.04
2023-10-19,-0.92,-0.9,-0.02,2.57,2.63,-0.06
2023-10-20,-1.03,-1.01,-0.03,1.51,1.6,-0.09
2023-10-23,-0.47,-0.46,0.0,1.03,1.13,-0.09
2023-10-24,0.75,0.72,0.04,1.8,1.85,-0.06
2023-10-25,-1.28,-1.26,-0.02,0.49,0.57,-0.08
2023-10-26,-0.42,-0.44,0.02,0.07,0.13,-0.06
2023-10-27,-0.88,-0.87,-0.01,-0.82,-0.75,-0.07
2023-10-30,1.24,1.23,0.02,0.42,0.47,-0.05
2023-10-31,0.74,0.76,-0.03,1.16,1.24,-0.08
2023-11-01,0.33,0.33,0.0,1.49,1.57,-0.08
2023-11-02,2.06,2.06,-0.01,3.57,3.66,-0.09
2023-11-03,0.88,0.83,0.05,4.49,4.53,-0.04
2023-11-06,-0.27,-0.26,-0.01,4.21,4.26,-0.04
2023-11-07,-0.25,-0.25,0.01,3.96,3.99,-0.04
2023-11-08,0.23,0.27,-0.04,4.19,4.27,-0.08
2023-11-09,-0.22,-0.22,0.0,3.97,4.05,-0.08
2023-11-10,1.44,1.39,0.05,5.47,5.5,-0.03
2023-11-13,0.09,0.1,-0.01,5.56,5.61,-0.05
2023-11-14,2.01,2.05,-0.04,7.68,7.77,-0.09
2023-11-15,0.21,0.2,0.01,7.9,7.99,-0.08
2023-11-16,0.02,0.01,0.01,7.93,8.0,-0.08
2023-11-17,0.64,0.59,0.05,8.61,8.63,-0.02
2023-11-20,0.3,0.33,-0.03,8.94,8.99,-0.05
2023-11-21,-0.08,-0.05,-0.02,8.86,8.94,-0.07
2023-11-22,0.22,0.2,0.01,9.1,9.16,-0.06
2023-11-23,0.0,0.0,0.0,9.1,9.16,-0.06
2023-11-24,0.25,0.3,-0.06,9.36,9.49,-0.12
2023-11-27,-0.56,-0.58,0.02,8.75,8.85,-0.1
2023-11-28,-0.24,-0.24,0.01,8.49,8.59,-0.1
2023-11-29,0.38,0.34,0.04,8.9,8.95,-0.05
2023-11-30,1.1,1.11,-0.02,10.1,10.17,-0.07
2023-12-01,1.58,1.57,0.01,11.83,11.89,-0.06
2023-12-04,0.17,0.2,-0.04,12.02,12.12,-0.1
2023-12-05,-0.81,-0.86,0.05,11.11,11.16,-0.04
2023-12-06,0.44,0.47,-0.03,11.61,11.68,-0.08
2023-12-07,0.09,0.11,-0.02,11.71,11.81,-0.1
2023-12-08,0.31,0.34,-0.03,12.06,12.19,-0.13
2023-12-11,0.95,0.9,0.05,13.13,13.2,-0.07
2023-12-12,0.45,0.46,-0.01,13.64,13.72,-0.07
