date,periodic portfolio,periodic benchmark,periodic +/-,cumulative portfolio,cumulative benchmark,cumulative +/-
2023-12-14,0.99,0.95,0.05,11.0,10.99,0.01
2023-12-15,-0.59,-0.4,-0.19,10.35,10.55,-0.2
2023-12-18,0.33,0.14,0.19,10.71,10.71,0.0
2023-12-19,0.75,0.77,-0.02,11.54,11.57,-0.02
2023-12-20,-1.78,-1.72,-0.07,9.55,9.65,-0.1
2023-12-21,0.98,0.88,0.1,10.62,10.61,0.01
2023-12-22,0.21,0.23,-0.01,10.86,10.86,0.0
2023-12-25,0.0,0.0,0.0,10.86,10.86,0.0
2023-12-26,0.4,0.41,0.0,11.31,11.31,-0.01
2023-12-27,0.32,0.28,0.04,11.66,11.62,0.04
2023-12-28,0.29,0.37,-0.07,11.99,12.03,-0.04
2023-12-29,-0.32,-0.27,-0.05,11.63,11.73,-0.09
2024-01-01,0.0,0.0,0.0,11.63,11.73,-0.09
2024-01-02,0.43,0.39,0.03,12.11,12.16,-0.06
2024-01-03,-0.85,-0.81,-0.03,11.16,11.25,-0.09
2024-01-04,0.4,0.3,0.1,11.6,11.59,0.02
2024-01-05,0.43,0.53,-0.1,12.08,12.17,-0.1
2024-01-08,0.64,0.61,0.03,12.79,12.85,-0.06
2024-01-09,-0.63,-0.69,0.06,12.08,12.08,0.0
2024-01-10,0.16,0.21,-0.05,12.26,12.31,-0.05
2024-01-11,-0.37,-0.41,0.04,11.84,11.84,0.0
2024-01-12,-0.19,-0.22,0.03,11.63,11.6,0.03
2024-01-15,0.0,0.0,0.0,11.63,11.6,0.03
2024-01-16,-0.69,-0.64,-0.06,10.86,10.89,-0.03
2024-01-17,-0.19,-0.28,0.09,10.65,10.58,0.07
2024-01-18,0.16,0.24,-0.08,10.83,10.84,-0.01
2024-01-19,1.61,1.65,-0.04,12.61,12.67,-0.06
2024-01-22,0.47,0.43,0.05,13.15,13.15,-0.01
2024-01-23,0.16,0.14,0.01,13.32,13.31,0.01
2024-01-24,0.39,0.47,-0.07,13.77,13.84,-0.07
2024-01-25,0.5,0.54,-0.04,14.33,14.46,-0.12
2024-01-26,0.36,0.29,0.07,14.75,14.79,-0.04
2024-01-29,0.26,0.3,-0.04,15.05,15.14,-0.09
2024-01-30,1.26,1.22,0.04,16.5,16.54,-0.04
2024-01-31,-1.22,-1.21,-0.01,15.08,15.13,-0.05
2024-02-01,0.15,0.12,0.04,15.25,15.26,-0.01
2024-02-02,0.41,0.48,-0.07,15.73,15.82,-0.09
2024-02-05,-0.59,-0.61,0.02,15.05,15.11,-0.07
2024-02-06,0.21,0.28,-0.08,15.28,15.44,-0.16
2024-02-07,0.75,0.69,0.06,16.14,16.24,-0.09
2024-02-08,-0.38,-0.46,0.07,15.7,15.71,-0.01
2024-02-09,0.28,0.32,-0.04,16.03,16.08,-0.06
2024-02-12,0.46,0.42,0.04,16.56,16.56,0.0
2024-02-13,-1.35,-1.28,-0.07,14.99,15.07,-0.09
2024-02-14,0.96,0.96,-0.01,16.09,16.18,-0.1
2024-02-15,1.71,1.66,0.05,18.07,18.11,-0.04
2024-02-16,-0.35,-0.28,-0.07,17.66,17.78,-0.12
2024-02-19,0.0,0.0,0.0,17.66,17.78,-0.12
2024-02-20,-0.28,-0.37,0.09,17.33,17.34,-0.01
2024-02-21,0.3,0.32,-0.01,17.69,17.71,-0.03
2024-02-22,1.16,1.33,-0.17,19.05,19.28,-0.22
2024-02-23,0.5,0.33,0.17,19.65,19.67,-0.02
2024-02-26,-0.5,-0.45,-0.04,19.05,19.12,-0.07
2024-02-27,0.27,0.27,0.01,19.38,19.44,-0.06
2024-02-28,0.37,0.37,0.0,19.83,19.89,-0.06
2024-02-29,-0.05,0.03,-0.08,19.77,19.92,-0.15
2024-03-01,-0.12,-0.21,0.08,19.62,19.67,-0.05
2024-03-04,0.25,0.23,0.02,19.92,19.94,-0.03
2024-03-05,0.02,0.13,-0.1,19.95,20.09,-0.15
2024-03-06,0.52,0.42,0.1,20.57,20.59,-0.03
2024-03-07,-0.15,-0.13,-0.02,20.39,20.44,-0.05
2024-03-08,0.17,0.19,-0.02,20.6,20.67,-0.07
2024-03-11,0.17,0.2,-0.03,20.81,20.91,-0.1
2024-03-12,0.42,0.45,-0.03,21.31,21.45,-0.14
2024-03-13,0.73,0.58,0.15,22.2,22.15,0.05
2024-03-14,-0.8,-0.69,-0.11,21.22,21.3,-0.08
2024-03-15,-0.1,-0.05,-0.05,21.1,21.24,-0.14
2024-03-18,0.57,0.5,0.07,21.79,21.85,-0.06
2024-03-19,0.49,0.48,0.0,22.39,22.44,-0.05
2024-03-20,1.19,1.24,-0.05,23.85,23.96,-0.11
2024-03-21,0.82,0.85,-0.03,24.86,25.02,-0.15
2024-03-22,-1.15,-1.21,0.07,23.43,23.5,-0.07
2024-03-25,-0.39,-0.29,-0.1,22.96,23.14,-0.19
2024-03-26,0.34,0.2,0.14,23.37,23.39,-0.02
2024-03-27,1.18,1.24,-0.06,24.83,24.93,-0.1
2024-03-28,0.55,0.57,-0.03,25.52,25.65,-0.13
2024-03-29,0.0,0.0,0.0,25.52,25.65,-0.13
2024-04-01,-0.55,-0.62,0.08,24.83,24.86,-0.03
2024-04-02,-0.53,-0.44,-0.08,24.18,24.31,-0.13
2024-04-03,-0.05,-0.07,0.03,24.12,24.21,-0.09
2024-04-04,-1.13,-1.1,-0.03,22.72,22.84,-0.13
2024-04-05,0.95,0.9,0.05,23.88,23.94,-0.06
2024-04-08,0.43,0.4,0.04,24.42,24.43,-0.02
2024-04-09,-0.57,-0.5,-0.07,23.7,23.81,-0.11
2024-04-10,-1.49,-1.5,0.01,21.85,21.95,-0.1
2024-04-11,-0.71,-0.58,-0.13,20.99,21.24,-0.25
2024-04-12,-1.33,-1.43,0.1,19.38,19.51,-0.13
2024-04-15,-0.5,-0.51,0.01,18.78,18.9,-0.12
2024-04-16,-0.68,-0.62,-0.05,17.98,18.16,-0.18
2024-04-17,0.25,0.2,0.05,18.28,18.4,-0.12
2024-04-18,0.35,0.4,-0.05,18.69,18.87,-0.18
2024-04-19,1.38,1.35,0.03,20.33,20.47,-0.14
2024-04-22,1.21,1.2,0.01,21.79,21.92,-0.13
2024-04-23,0.64,0.68,-0.05,22.57,22.76,-0.19
2024-04-24,-0.02,-0.13,0.1,22.54,22.6,-0.06
2024-04-25,-0.58,-0.5,-0.08,21.82,21.99,-0.17
2024-04-26,-0.15,-0.19,0.04,21.64,21.76,-0.11
2024-04-29,-0.15,-0.17,0.02,21.47,21.55,-0.08
2024-04-30,-0.98,-0.95,-0.03,20.27,20.39,-0.12
2024-05-01,0.0,-0.02,0.02,20.27,20.37,-0.1
2024-05-02,0.25,0.23,0.02,20.57,20.65,-0.08
2024-05-03,0.22,0.33,-0.11,20.84,21.05,-0.21
2024-05-06,1.28,1.18,0.1,22.39,22.47,-0.08
2024-05-07,0.34,0.32,0.02,22.81,22.87,-0.06
2024-05-08,0.36,0.4,-0.03,23.25,23.36,-0.1
2024-05-09,0.75,0.73,0.02,24.18,24.25,-0.08
2024-05-10,0.38,0.46,-0.08,24.65,24.82,-0.17
2024-05-13,-0.41,-0.41,0.0,24.15,24.31,-0.16
2024-05-14,0.5,0.48,0.02,24.77,24.91,-0.14
2024-05-15,0.74,0.72,0.02,25.7,25.81,-0.11
2024-05-16,0.0,-0.01,0.01,25.7,25.8,-0.1
